Network,Group,Site,DA_sqkm,Water_cts,Developed_cts,Forested_cts,Agricultural_cts,Water_pct,Developed_pct,Forested_pct,Agricultural_pct
BSL,BSL1,BSL1.1,4.47,0.00,4554.00,398.00,19.00,0.00,0.92,0.08,0.00
BSL,BSL1,BSL1.2,1.46,0.00,1611.00,11.00,0.00,0.00,0.99,0.01,0.00
BSL,BSL1,BSL1.3,3.01,0.00,2943.00,387.00,19.00,0.00,0.88,0.12,0.01
BSL,BSL2,BSL2.1,2.94,0.00,2865.00,387.00,19.00,0.00,0.88,0.12,0.01
BSL,BSL2,BSL2.2,1.51,0.00,1540.00,119.00,13.00,0.00,0.92,0.07,0.01
BSL,BSL2,BSL2.3,1.43,0.00,1325.00,268.00,6.00,0.00,0.83,0.17,0.00
BSL,BSL3,BSL3.1,1.40,0.00,1288.00,268.00,6.00,0.00,0.82,0.17,0.00
BSL,BSL3,BSL3.2,0.48,0.00,418.00,114.00,2.00,0.00,0.78,0.21,0.00
BSL,BSL3,BSL3.3,0.92,0.00,870.00,154.00,4.00,0.00,0.85,0.15,0.00
BSL,BSL4,BSL4.1,1.18,0.00,1189.00,109.00,13.00,0.00,0.91,0.08,0.01
BSL,BSL4,BSL4.2,0.78,0.00,783.00,72.00,5.00,0.00,0.91,0.08,0.01
BSL,BSL4,BSL4.3,0.41,0.00,406.00,37.00,8.00,0.00,0.90,0.08,0.02
BSL,BSL5,BSL5.1,0.70,0.00,632.00,141.00,3.00,0.00,0.81,0.18,0.00
BSL,BSL5,BSL5.2,0.24,0.00,185.00,75.00,3.00,0.00,0.70,0.29,0.01
BSL,BSL5,BSL5.3,0.46,0.00,447.00,66.00,0.00,0.00,0.87,0.13,0.00
BSL,BSL6,BSL6,0.48,0.00,418.00,114.00,2.00,0.00,0.78,0.21,0.00
BSL,BSL7,BSL7,0.41,0.00,406.00,37.00,8.00,0.00,0.90,0.08,0.02
BSL,BSL8,BSL8,0.78,0.00,783.00,72.00,5.00,0.00,0.91,0.08,0.01
MCA,MCA1,MCA1,1.38,0.00,845.00,649.00,38.00,0.00,0.55,0.42,0.02
MCA,MCA2,MCA2,1.32,0.00,784.00,649.00,38.00,0.00,0.53,0.44,0.03
MCA,MCA3,MCA3.1,0.55,0.00,413.00,200.00,0.00,0.00,0.67,0.33,0.00
MCA,MCA3,MCA3.2,0.31,0.00,226.00,112.00,0.00,0.00,0.67,0.33,0.00
MCA,MCA3,MCA3.3,0.25,0.00,187.00,88.00,0.00,0.00,0.68,0.32,0.00
MCA,MCA4,MCA4,0.77,0.00,371.00,449.00,38.00,0.00,0.43,0.52,0.04
MTN,MTN1,MTN1.1,1.50,4.00,1070.00,550.00,46.00,0.00,0.64,0.33,0.03
MTN,MTN1,MTN1.2,0.97,0.00,614.00,436.00,26.00,0.00,0.57,0.41,0.02
MTN,MTN1,MTN1.3,0.42,0.00,377.00,76.00,6.00,0.00,0.82,0.17,0.01
MTN,MTN2,MTN2,0.97,0.00,614.00,436.00,26.00,0.00,0.57,0.41,0.02
MTN,MTN3,MTN3,0.64,0.00,387.00,331.00,3.00,0.00,0.54,0.46,0.00
MTN,MTN4,MTN4,0.38,0.00,222.00,207.00,1.00,0.00,0.52,0.48,0.00
NBO,NBO1,NBO1,0.83,388.00,18.00,389.00,138.00,0.42,0.02,0.42,0.15
NBO,NBO2,NBO2,1.01,18.00,12.00,1051.00,45.00,0.02,0.01,0.93,0.04
NBO,NBO3,NBO3,0.98,13.00,9.00,1030.00,45.00,0.01,0.01,0.94,0.04
NBO,NBO4,NBO4,0.76,14.00,71.00,526.00,231.00,0.02,0.08,0.62,0.27
NBO,NBO5,NBO5,1.35,32.00,90.00,1335.00,39.00,0.02,0.06,0.89,0.03
NBO,NBO6,NBO6,0.19,50.00,57.00,67.00,34.00,0.24,0.27,0.32,0.16
WBK,WBK1,WBK1,1.14,13.00,1106.00,142.00,0.00,0.01,0.88,0.11,0.00
WBK,WBK2,WBK2,1.14,13.00,1106.00,142.00,0.00,0.01,0.88,0.11,0.00
WBK,WBK3,WBK3,0.36,0.00,314.00,90.00,0.00,0.00,0.78,0.22,0.00