site_name,network,EFK,theme,longitude,latitude
Bear Creek,Bear Creek,N,3,-84.36667,35.947476
BSL4.3,Bissell,N,1,-84.2585295,36.0183306
BSL4.2,Bissell,N,1,-84.2582403,36.0183798
BSL8,Bissell,N,1,-84.2533073,36.0246733
BSL7,Bissell,N,1,-84.2597739,36.020083
BSL6,Bissell,N,1,-84.2633635,36.0193798
BSL5.1,Bissell,N,1,-84.2696131,36.0150356
BSL5.2,Bissell,N,1,-84.2714486,36.0168412
BSL5.3,Bissell,N,1,-84.2723552,36.0165765
BSL1.3,Bissell,N,1,-84.26319,36.01175
BSL1.2,Bissell,N,1,-84.26251,36.01151
BSL2.3,Bissell,N,1,-84.26408,36.01424
BSL1.1,Bissell,N,1,-84.2648449,36.0108124
BSL2.1,Bissell,N,1,-84.2639509,36.0136344
BSL2.2,Bissell,N,1,-84.2637642,36.0139505
BSL3.1,Bissell,N,1,-84.2644455,36.0154176
BSL3.3,Bissell,N,1,-84.2646386,36.0154957
BSL3.2,Bissell,N,1,-84.2645688,36.0158559
BSL4.1,Bissell,N,1,-84.2584978,36.0181715
EFK2.0,EFK,Y,3,-84.374846,35.949108
EFK5.4,EFK,Y,3,-84.358127,35.966476
EFK7.9,EFK,Y,3,-84.346409,35.969374
EFK10.0,EFK,Y,3,-84.335531,35.976278
EFK11.3,EFK,Y,3,-84.3273462,35.9825023
EFK18.2,EFK,Y,3,-84.280972,36.006417
EFK23.5,EFK,Y,3,-84.239882,35.995334
Gum Hollow,Gum Hollow,N,3,-84.3354394,35.9754589
EFK13.8,EFK,Y,3,-84.3154217,35.9923436
EFK16.2,EFK,Y,3,-84.300059,35.998879
EFK20,EFK,Y,3,-84.268534,36.00951
Downtown,Downtown,N,3,-84.267651,36.009743
Pinhook Branch,Pinhook,N,3,-84.335738,35.9702656
MCA3.2,McArthur,N,1,-84.3075083,36.0033728
MCA4,McArthur,N,1,-84.301429,36.0034444
MCA3.3,McArthur,N,1,-84.308879,36.0025165
MCA3.1,McArthur,N,1,-84.3047188,36.0013071
MCA2,McArthur,N,1,-84.3024433,36.0002255
MCA1,McArthur,N,1,-84.303484,35.998559
Mill Branch,Mill Branch,N,3,-84.3033029,35.9962791
MTN3,Montana,N,1,-84.3155179,35.9966196
MTN2,Montana,N,1,-84.3169132,35.9953664
MTN1.2,Montana,N,1,-84.3189111,35.9922904
MTN4,Montana,N,1,-84.3172639,35.9997379
MTN1.1,Montana,N,1,-84.3190233,35.9917456
MTN1.3,Montana,N,1,-84.3193376,35.9920538
NBO6,N Boundary,N,1,-84.3594832,35.9657918
NBO5,N Boundary,N,1,-84.3632813,35.9623703
NBO3,N Boundary,N,1,-84.3778159,35.9581377
NBO2,N Boundary,N,1,-84.382512,35.953471
NBO4,N Boundary,N,1,-84.370939,35.964581
NBO1,N Boundary,N,1,-84.373972,35.948667
WBK2,Willow Brook,N,1,-84.279297,36.0121508
WBK1,Willow Brook,N,1,-84.2777896,36.0116865
WBK3,Willow Brook,N,1,-84.2853872,36.012128